ASFIS species (Name),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Spirulina maxima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3189,2712,6000,3,5,220,0,11,0,0,4,39,450.5
Haematococcus pluvialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444,7,16,38,12,5,15,41,26,0,13,35,22.53
Porphyra columbina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trochita spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Atlantic salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,521,395,318,693,485,651,799,2630,3233,9779,13071,22073,21467,194,328,569.56,493.49
Atlantic salmon,0,0,0,0,0,0,0,41,165,1860,9478,14957,23715,29180,34175,54250,77327,96675,107066,103242,166897,253607,265205,279906,348665,385086,375991,330391,388048,230678,120000,254570,386607,470256,622992,608352,531897,613610.9,660644.9
Bastard halibut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Chilean flat oyster,140,119,185,12,120,274,254,164,185,290,192,432,195,684,149,204,526,328,247,291,200,229,235,168,222,144,152,187,205,137,163,219,194,227,225,215,227,376.96,371.97
Chilean mussel,300,582,1389,309,975,983,1606,1410,2227,2299,2103,2822,3352,2900,3772,5595,6064,8635,11911,16203,23477,34648,41797,57809,77461,87736,126952,153433,187064,166952,221522,288583,244137,241841,238088,208707,300648,338846,365595.16
Chinook(=Spring=King) salmon,0,0,0,0,0,0,0,0,3,11,316,1059,667,859,379,371,341,738,108,208,2524,3807,2463,1526,3128,2904,1958,1910,72,603,636,1094,1688,984,0,0,0,0,0
Cholga mussel,7,14,0,0,0,0,0,0,3,2,29,78,66,97,94,106,199,188,320,566,295,506,1696,1567,1295,843,617,1091,1575,1602,1736,3638,1995,3775,1172,1068,1005,1501.71,2295.75
Choro mussel,30,31,240,63,136,133,176,91,245,230,195,247,421,165,117,186,298,261,353,477,224,292,260,185,397,560,896,649,692,512,757,825,330,550,1561,1581,691,1078.98,1025.39
Coho(=Silver) salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,149,83,91,118,179,100,50,9612,12744,15458,15619,11505,13819,245,176,153,189.89
Coho(=Silver) salmon,64,1,184,94,109,500,1144,1769,4040,6930,13298,17954,22165,25150,34524,44037,66988,73408,76954,76324,93419,136815,102373,91714,90244,102376,118042,105377,92267,147348,110000,144120,146334,133072,145128,126771,110804,164045,148330.88
Freshwater fishes nei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,27,3,0,0,0,0,0,12920,0,0,0,0
Giant kelp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,12,0,0,0,2,0,0,0,0.51
Gracilaria seaweeds,1455,1990,3060,1237,6800,4924,5332,9178,23109,36150,38017,57679,47807,48648,65787,49183,105212,102767,68386,31278,33471,65538,71648,40050,20266,15492,33586,23668,21686,88147,12150,14469,4111,12460,12808,11952,14846,16725.22,20704.69
Japanese abalone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,1,4,15,1,2,0,6,25,23,16,12,2,16.03,17.01
Masu(=Cherry) salmon,0,0,0,0,0,0,0,0,0,0,29,105,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific cupped oyster,0,0,0,4,28,25,244,80,139,206,144,371,123,435,1130,1313,1776,3203,4076,5441,5641,7089,3718,3640,2356,2495,1443,778,882,96,94,0,0,0,83,0,43,57.18,76.53
Peruvian calico scallop,0,0,1,0,57,39,178,258,966,661,1182,1158,2112,4683,10735,8264,9779,11482,16474,20668,19018,18534,15124,15109,24577,17319,16076,20072,21277,16864,8840,11018,5798,5001,4146,2960,3547,4706.46,7518.45
Rainbow trout,92,52,257,253,386,619,1007,945,1247,1946,3628,6818,1617,1700,2187,2630,1938,7809,4035,3250,655,753,2910,3114,3839,9380,10346,2000,1848,15198,20244,15966,30837,10790,20458,209,394,2386.05,191.07
Rainbow trout,0,0,0,0,0,0,0,0,20,925,1853,1575,13898,20557,30679,40089,52491,69301,71073,47164,78911,109142,108771,111493,122760,113582,140262,162406,147563,199497,200000,208482,223516,131891,131315,94508,84213,74585.22,78255.09
Red abalone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,48,66,73,113,120,241,342,391,357,514,841,794,835,828,1111,1130,965,1274,1014.83,1038.39
Sea trout,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turbot,0,0,0,0,0,0,0,0,0,0,0,3,17,32,19,38,168,278,426,334,260,303,320,422,273,296,277,335,282,319,292,252,442,107,2,3,0,0,1.89
Yellowtail amberjack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.49
,2088,2789,5316,1972,8611,7497,9941,13936,32349,51510,70464,105258,116281,135090,183747,206266,323115,375113,361430,305494,425058,631634,617303,607338,696157,739368,832329,806166,870845,881084,713241,969539,1075547,1045718,1227359,1057742,1050117,1219747.1,1287232.58
